Date,Open,High,Low,Close,EMA,RSI,BB_middle,BB_std,BB_upper,BB_lower,MACD,MACD_Signal,MACD_Histogram,USD,DowJones,NASDAQ,SP500,KOSPI,KOSDAQ,Gold,WTI,Treasury5Y,usdkrw,jpykrw,eurkrw
2023-10-31,-0.005275914,1.48E-05,-0.000289778,-0.005275914,0.000166515,-0.155776078,-0.000226846,-0.019315897,-0.000403272,-4.71E-05,-0.10018521,-0.040952687,0.409464859,0.005088588,0.003762954,0.00482895,0.006474957,-0.014091883,-0.027763102,-0.00551047,-0.01567247,0.002497918,-0.005275915,-0.00114672,0.02094229
2023-11-01,0.00155043,0.002870309,0.001642459,0.00155043,0.000256015,0.051538211,-0.000335895,-0.082163055,-0.001077853,0.000419767,-0.043201575,-0.04132564,-0.032218718,0.002062563,0.006707648,0.016358693,0.010505999,0.010346841,0.00425214,-0.003223807,-0.007158665,-0.023048173,0.00155043,-0.013031248,-0.000363528
2023-11-02,-0.001718365,-0.0093294,-0.014550381,-0.001718365,0.000128163,-0.060094488,-0.000123132,-0.007711903,-0.000186357,-5.88E-05,-0.111074961,-0.052870153,0.226484581,-0.007110723,0.016964903,0.017817344,0.018858557,0.018057318,0.045466228,0.003436389,0.025111847,-0.01466525,-0.001718365,0.002780168,-0.004014091
2023-11-03,-0.010505633,-0.007835248,-0.018492257,-0.010505633,-0.000559163,-0.297356462,-0.000459197,0.150220228,0.000786719,-0.001726063,-0.550791625,-0.130218692,1.332771938,-0.01036568,0.006567619,0.01384739,0.00939373,0.010763427,0.011917085,0.002971406,-0.023647793,-0.031924072,-0.010505633,-0.009603639,-0.006305192
2023-11-06,-0.019375028,-0.01816727,-0.009665913,-0.019375028,-0.001763242,-0.385039856,-0.001318107,0.694218186,0.005291778,-0.008056057,-2.76559506,-0.341651161,1.28202103,0.001904437,0.001014026,0.003004834,0.001752992,0.056592381,0.073396842,-0.004971139,0.003850428,0.026960784,-0.019375028,-0.012285651,-0.008019824
2023-11-07,-0.008204353,0.000602232,0.005127963,-0.008204353,-0.002168154,-0.15575047,-0.001849717,0.406176809,0.004685195,-0.008600881,1.637645792,-0.767519175,0.47898036,0.003041247,0.001664196,0.008956435,0.002840119,-0.023341872,-0.017964143,-0.007468675,-0.042687416,-0.015404643,-0.008204353,-0.011984671,-0.009231465
2023-11-08,0.005735877,0.001333394,0.000855427,0.005735877,-0.001674283,0.513804646,-0.001390043,0.146484445,0.001924736,-0.004860406,0.364154778,-3.53009828,0.069263396,0.000473707,-0.001180936,0.000773454,0.001004916,-0.009140902,-0.016194185,-0.007779158,-0.026366821,-0.003525782,0.005735878,0.003010772,0.003005134
2023-11-09,0.002736535,-0.000228222,0.003180132,0.002736535,-0.001396634,0.157435262,-0.001123574,0.08453711,0.001073657,-0.003439621,0.15874515,1.325132546,-0.050248659,0.003030666,-0.006458911,-0.009447332,-0.008083839,0.002254689,-0.010049074,0.006507789,0.005442665,0.026094648,0.002736534,-0.000393821,0.003669958
2023-11-10,0.005412314,0.00557882,0.00757587,0.005412314,-0.000966256,0.259010261,-0.001236799,0.033459605,-0.000272621,-0.002257718,0.029182119,0.475075125,-0.166413474,-0.000472127,0.011541391,0.020460835,0.015616441,-0.007177349,-0.016889409,-0.016087962,0.018880381,0.005603448,0.005412314,0.002912496,0.00236394
2023-11-13,0.003360739,0.0034514,0.00469268,0.003360739,-0.00069101,0.12072441,-0.001212546,0.006243015,-0.000998373,-0.001439774,-0.029675175,0.244073757,-0.242168009,-0.001889259,0.001597566,-0.002201035,-0.000835839,-0.002448478,-0.018864578,0.006674958,0.014124712,-0.000642949,0.003360739,2.86E-05,-0.018930056
2023-11-14,-0.000416824,0.0030774,-0.012306161,-0.000416824,-0.000673498,-0.011022044,-0.001073353,0.00886261,-0.000785857,-0.001378508,-0.03016343,0.146184434,-0.254880082,-0.014669723,0.014264953,0.023725001,0.019075018,0.01226828,0.025528783,0.008378334,0,-0.05189792,-0.000416824,0.000229069,0.027051423
